"Date","Price","Open","High","Low","Vol.","Change %"
"01/14/2020","20.00","20.45","20.50","19.55","1.78M","-1.28%"
"01/15/2020","20.24","19.94","20.58","19.94","2.05M","1.20%"
"01/16/2020","21.01","21.68","21.87","20.77","4.93M","3.80%"
"01/17/2020","20.62","21.50","21.50","20.55","3.35M","-1.86%"
"01/21/2020","20.94","20.79","21.49","20.64","2.09M","1.55%"
"01/22/2020","21.97","22.08","23.20","21.70","10.92M","4.92%"
"01/23/2020","21.47","22.17","22.65","21.40","3.66M","-2.28%"
"01/24/2020","21.12","21.60","21.88","20.90","2.95M","-1.63%"
"01/27/2020","22.74","22.10","23.12","21.12","10.29M","7.67%"
"01/28/2020","22.36","23.50","23.50","21.85","5.65M","-1.67%"
"01/29/2020","20.55","22.23","22.34","20.45","4.68M","-8.09%"
"01/30/2020","20.99","21.05","21.74","20.80","3.06M","2.14%"
"01/31/2020","20.51","21.14","21.32","20.05","2.83M","-2.29%"
"02/03/2020","20.38","20.66","21.06","19.70","3.21M","-0.63%"
"02/04/2020","20.87","20.09","20.88","19.75","1.82M","2.40%"
"02/05/2020","20.05","20.99","21.20","19.67","2.66M","-3.93%"
"02/06/2020","19.88","20.27","20.32","19.70","1.93M","-0.85%"
"02/07/2020","23.24","19.79","23.39","19.79","10.14M","16.90%"
"02/10/2020","23.65","23.50","23.95","22.38","9.36M","1.76%"
"02/11/2020","21.35","22.09","22.74","21.28","6.19M","-9.73%"
"02/12/2020","19.01","19.64","19.67","18.50","19.23M","-10.96%"
"02/13/2020","19.05","19.36","19.80","18.89","6.84M","0.21%"
"02/14/2020","19.00","19.27","19.29","18.85","5.38M","-0.26%"
"02/18/2020","18.91","19.14","19.35","18.57","4.13M","-0.47%"
"02/19/2020","18.92","19.09","19.24","18.73","3.15M","0.05%"
"02/20/2020","18.54","18.86","19.17","18.42","4.56M","-2.01%"
"02/21/2020","18.23","18.47","18.55","17.91","3.70M","-1.67%"
"02/24/2020","18.59","19.23","19.28","18.30","7.61M","1.97%"
"02/25/2020","23.76","22.15","26.55","20.51","65.00M","27.81%"
"02/26/2020","29.16","29.05","29.98","27.08","78.02M","22.73%"
"02/27/2020","26.16","35.88","36.00","23.05","68.26M","-10.29%"
"02/28/2020","25.93","23.38","25.95","22.02","24.43M","-0.88%"
"03/02/2020","29.88","27.00","30.75","25.21","33.08M","15.23%"
"03/03/2020","27.91","27.80","28.60","26.60","17.60M","-6.59%"
"03/04/2020","27.49","27.99","28.72","26.80","11.82M","-1.50%"
"03/05/2020","28.01","27.49","28.95","26.54","14.67M","1.89%"
"03/06/2020","29.61","27.98","29.80","27.67","21.10M","5.71%"
"03/09/2020","24.29","30.00","30.00","24.16","14.12M","-17.97%"
"03/10/2020","22.34","25.71","25.94","21.28","13.02M","-8.03%"
"03/11/2020","23.61","22.54","25.75","22.52","14.83M","5.68%"
"03/12/2020","22.30","22.90","24.28","21.90","11.31M","-5.55%"
"03/13/2020","21.30","23.00","23.47","19.31","11.85M","-4.48%"
"03/16/2020","26.49","23.76","27.80","22.22","39.85M","24.37%"
"03/17/2020","28.18","29.36","32.70","27.31","44.48M","6.38%"
"03/18/2020","31.58","27.00","32.52","26.57","28.70M","12.07%"
"03/19/2020","28.27","32.77","34.92","25.20","36.95M","-10.48%"
"03/20/2020","28.20","29.25","30.23","26.20","16.52M","-0.25%"
"03/23/2020","26.57","28.71","29.81","26.25","11.08M","-5.78%"
"03/24/2020","25.82","26.91","27.24","24.37","12.55M","-2.82%"
"03/25/2020","27.13","25.01","27.98","24.80","9.65M","5.07%"
"03/26/2020","27.94","27.75","28.79","27.58","5.59M","2.99%"
"03/27/2020","30.05","28.35","31.00","27.97","12.41M","7.55%"
"03/30/2020","30.48","30.59","31.69","28.27","10.75M","1.43%"
"03/31/2020","29.95","30.60","30.98","29.20","6.03M","-1.74%"
"04/01/2020","29.67","30.05","30.94","29.44","7.00M","-0.93%"
"04/02/2020","33.20","30.60","33.39","29.84","15.93M","11.90%"
"04/03/2020","34.84","32.81","35.66","32.72","16.90M","4.94%"
"04/06/2020","34.64","34.91","35.19","33.33","10.84M","-0.57%"
"04/07/2020","32.02","33.81","34.03","30.98","10.10M","-7.56%"
"04/08/2020","32.42","32.36","32.94","31.75","4.12M","1.25%"
"04/09/2020","31.86","32.55","32.92","31.32","4.86M","-1.73%"
"04/13/2020","32.90","32.00","32.98","31.71","5.60M","3.26%"
"04/14/2020","34.66","34.00","34.99","33.15","8.13M","5.35%"
"04/15/2020","37.25","34.64","38.45","33.72","15.68M","7.47%"
"04/16/2020","40.60","38.07","41.55","36.62","20.67M","8.99%"
"04/17/2020","46.85","48.99","49.00","43.38","32.29M","15.39%"
"04/20/2020","51.69","45.00","54.95","44.51","34.10M","10.33%"
"04/21/2020","49.26","53.00","56.38","43.11","39.64M","-4.70%"
"04/22/2020","51.20","50.61","51.82","49.06","11.69M","3.94%"
"04/23/2020","47.44","49.10","50.70","46.89","15.15M","-7.34%"
"04/24/2020","50.50","47.15","50.50","47.14","11.71M","6.45%"
"04/27/2020","48.05","51.53","51.70","47.30","13.74M","-4.85%"
"04/28/2020","47.88","50.40","50.45","47.17","13.07M","-0.35%"
"04/29/2020","46.37","46.60","46.95","45.01","11.76M","-3.15%"
"04/30/2020","45.99","46.78","48.37","45.82","7.74M","-0.82%"
"05/01/2020","47.93","48.71","50.45","46.29","21.70M","4.22%"
"05/04/2020","50.50","48.05","50.50","48.00","10.46M","5.36%"
"05/05/2020","49.34","50.48","50.96","47.23","11.16M","-2.30%"
"05/06/2020","48.95","48.45","49.25","47.52","6.69M","-0.79%"
"05/07/2020","53.19","55.78","55.99","51.06","30.94M","8.66%"
"05/08/2020","59.25","53.06","59.88","52.15","24.14M","11.39%"
"05/11/2020","66.90","59.60","67.67","59.14","34.85M","12.91%"
"05/12/2020","62.35","65.99","68.49","62.02","25.93M","-6.80%"
"05/13/2020","65.18","64.00","66.94","60.32","22.13M","4.54%"
"05/14/2020","64.56","65.02","65.31","61.48","12.20M","-0.95%"
"05/15/2020","66.69","63.79","67.51","63.05","16.34M","3.30%"
"05/18/2020","80.00","86.41","87.00","75.82","81.21M","19.96%"
"05/19/2020","71.67","78.33","79.67","70.32","64.93M","-10.41%"
"05/20/2020","73.47","70.06","74.46","67.41","53.66M","2.51%"
"05/21/2020","67.05","72.76","72.76","65.31","35.32M","-8.74%"
"05/22/2020","69.00","69.93","70.60","67.14","28.91M","2.91%"
"05/26/2020","57.71","66.38","66.38","57.10","40.33M","-16.36%"
"05/27/2020","52.18","50.47","53.15","46.80","59.51M","-9.58%"
"05/28/2020","55.54","53.49","59.00","53.35","32.31M","6.44%"
"05/29/2020","61.50","57.45","61.65","56.56","38.22M","10.73%"
"06/01/2020","62.18","62.87","63.84","60.55","21.26M","1.11%"
"06/02/2020","59.87","58.33","59.95","55.45","21.70M","-3.72%"
"06/03/2020","59.89","57.26","63.34","57.26","20.81M","0.03%"
"06/04/2020","60.59","61.65","61.91","58.65","13.50M","1.17%"
"06/05/2020","58.19","58.49","59.19","56.63","14.68M","-3.96%"
"06/08/2020","59.10","58.40","59.38","56.73","11.25M","1.56%"
"06/09/2020","58.23","58.52","59.34","57.73","7.60M","-1.47%"
