"Date","Price","Open","High","Low","Vol.","Change %"
"04/19/2022","152.72","151.77","153.67","147.23","6.56M","-1.31%"
"04/20/2022","150.12","152.97","153.67","146.56","3.93M","-1.70%"
"04/21/2022","144.50","149.43","154.71","144.03","3.91M","-3.74%"
"04/22/2022","140.34","143.23","148.81","139.87","4.11M","-2.88%"
"04/25/2022","150.41","139.90","151.37","139.40","6.10M","7.18%"
"04/26/2022","145.79","148.48","151.74","143.99","5.16M","-3.07%"
"04/27/2022","142.43","146.09","149.85","139.31","4.72M","-2.30%"
"04/28/2022","142.52","143.73","148.45","136.09","5.68M","0.06%"
"04/29/2022","134.41","144.47","150.35","134.19","7.10M","-5.69%"
"05/02/2022","142.08","134.87","146.45","134.82","7.77M","5.71%"
"05/03/2022","146.54","141.93","149.28","137.53","6.33M","3.14%"
"05/04/2022","155.05","153.48","155.46","142.23","11.09M","5.81%"
"05/05/2022","142.02","151.87","152.00","138.65","8.06M","-8.40%"
"05/06/2022","134.40","139.70","140.60","131.00","7.01M","-5.37%"
"05/09/2022","135.80","132.79","141.65","131.78","9.63M","1.04%"
"05/10/2022","132.32","137.40","139.05","127.61","8.18M","-2.56%"
"05/11/2022","123.43","130.74","134.91","122.72","7.41M","-6.72%"
"05/12/2022","130.17","120.60","132.94","119.01","7.11M","5.46%"
"05/13/2022","137.91","132.31","141.65","132.31","6.49M","5.95%"
"05/16/2022","136.26","135.87","141.60","133.82","4.54M","-1.20%"
"05/17/2022","142.28","137.52","143.89","136.09","5.96M","4.42%"
"05/18/2022","137.71","138.41","144.13","136.29","4.98M","-3.21%"
"05/19/2022","143.38","140.87","148.50","140.46","7.71M","4.12%"
"05/20/2022","136.25","143.07","144.77","131.35","5.88M","-4.97%"
"05/23/2022","137.62","137.60","141.31","136.24","4.28M","1.01%"
"05/24/2022","132.06","136.24","136.60","126.77","6.15M","-4.04%"
"05/25/2022","130.85","130.98","133.00","126.28","5.34M","-0.92%"
"05/26/2022","135.80","130.85","136.14","126.53","5.16M","3.78%"
"05/27/2022","147.66","137.38","148.54","136.59","7.59M","8.73%"
"05/31/2022","145.33","145.05","149.44","142.74","8.34M","-1.58%"
"06/01/2022","143.40","146.09","149.08","140.87","3.65M","-1.33%"
"06/02/2022","140.18","140.20","142.50","130.92","7.15M","-2.25%"
"06/03/2022","137.15","139.58","143.38","135.07","4.06M","-2.16%"
"06/06/2022","140.00","137.99","143.00","136.71","3.14M","2.08%"
"06/07/2022","145.34","139.37","146.35","137.96","4.07M","3.81%"
"06/08/2022","148.53","147.47","152.73","146.75","4.71M","2.19%"
"06/09/2022","134.04","148.46","148.74","134.00","7.53M","-9.76%"
"06/10/2022","127.12","132.89","134.69","124.53","6.27M","-5.16%"
"06/13/2022","117.13","122.71","124.78","115.61","6.70M","-7.86%"
"06/14/2022","121.56","117.26","123.15","115.89","5.50M","3.78%"
"06/15/2022","128.53","122.44","131.38","122.44","6.97M","5.73%"
"06/16/2022","121.08","124.38","125.25","118.06","5.72M","-5.80%"
"06/17/2022","128.03","120.73","128.77","120.20","8.36M","5.74%"
"06/21/2022","129.99","130.49","134.57","129.67","4.32M","1.53%"
"06/22/2022","136.07","127.50","139.90","126.59","6.05M","4.68%"
"06/23/2022","143.26","136.04","143.66","132.80","4.72M","5.28%"
"06/24/2022","144.27","143.99","144.89","138.22","8.48M","0.71%"
"06/27/2022","145.36","143.00","146.40","138.49","4.39M","0.76%"
"06/28/2022","142.19","143.40","149.79","140.95","3.99M","-2.18%"
"06/29/2022","142.81","140.43","144.36","138.62","2.91M","0.44%"
"06/30/2022","142.85","143.40","147.35","135.52","5.63M","0.03%"
"07/01/2022","149.95","141.93","151.10","139.54","4.84M","4.97%"
"07/05/2022","155.54","148.66","158.79","146.84","6.02M","3.73%"
"07/06/2022","159.56","154.51","161.01","150.40","4.96M","2.58%"
"07/07/2022","172.40","159.50","173.66","159.38","7.63M","8.05%"
"07/08/2022","176.23","170.72","180.73","170.36","7.55M","2.22%"
"07/11/2022","175.26","173.51","180.48","171.29","6.60M","-0.55%"
"07/12/2022","173.25","174.73","176.90","170.16","5.14M","-1.15%"
"07/13/2022","171.24","168.88","176.65","167.15","4.08M","-1.16%"
"07/14/2022","159.92","169.24","170.86","155.93","6.76M","-6.61%"
"07/15/2022","166.91","161.00","167.00","155.93","4.27M","4.37%"
"07/18/2022","163.40","169.11","172.73","162.56","3.52M","-2.10%"
"07/19/2022","167.14","166.76","167.98","161.27","3.01M","2.29%"
"07/20/2022","166.89","167.00","172.51","163.92","2.89M","-0.15%"
"07/21/2022","168.89","165.36","171.89","165.25","2.52M","1.20%"
"07/22/2022","163.52","170.00","171.10","161.43","2.93M","-3.18%"
"07/25/2022","165.69","162.75","167.27","159.13","2.49M","1.33%"
"07/26/2022","160.90","166.30","166.30","159.90","2.88M","-2.89%"
"07/27/2022","158.02","161.00","161.28","154.10","4.28M","-1.79%"
"07/28/2022","158.07","157.00","158.81","151.73","3.49M","0.03%"
"07/29/2022","164.09","161.44","164.60","159.44","3.86M","3.81%"
"08/01/2022","161.51","163.85","166.18","160.06","3.79M","-1.57%"
"08/02/2022","160.81","161.03","165.29","160.76","3.52M","-0.43%"
"08/03/2022","186.49","167.74","189.33","167.74","13.75M","15.97%"
"08/04/2022","194.18","185.75","197.44","185.47","6.88M","4.12%"
"08/05/2022","186.84","189.27","192.40","182.26","5.43M","-3.78%"
"08/08/2022","182.94","185.20","190.28","180.09","4.08M","-2.09%"
"08/09/2022","171.14","176.01","180.71","169.20","5.08M","-6.45%"
"08/10/2022","174.27","174.09","176.68","169.82","3.55M","1.83%"
"08/11/2022","171.81","174.43","179.85","171.06","3.34M","-1.41%"
"08/12/2022","171.18","172.68","173.95","168.64","2.82M","-0.37%"
"08/15/2022","176.78","172.85","179.33","171.85","4.88M","3.27%"
"08/16/2022","167.96","176.00","180.13","166.60","5.05M","-4.99%"
"08/17/2022","158.00","165.04","167.62","157.68","5.52M","-5.93%"
"08/18/2022","150.00","157.00","158.51","148.26","7.04M","-5.06%"
"08/19/2022","146.10","147.64","150.75","144.99","4.69M","-2.60%"
"08/22/2022","142.47","145.25","148.88","141.57","4.49M","-2.48%"
"08/23/2022","143.78","141.70","144.81","139.21","3.68M","0.92%"
"08/24/2022","141.43","142.66","144.22","140.63","3.49M","-1.63%"
"08/25/2022","142.05","142.25","142.28","137.78","3.42M","0.44%"
"08/26/2022","136.70","142.80","145.50","136.66","4.00M","-3.77%"
"08/29/2022","137.26","135.09","139.37","135.00","3.24M","0.41%"
"08/30/2022","135.93","137.90","138.00","132.82","3.61M","-0.97%"
"08/31/2022","132.27","136.95","139.88","131.71","4.40M","-2.69%"
"09/01/2022","138.95","131.13","139.00","130.11","6.66M","5.05%"
"09/02/2022","138.57","140.36","140.93","137.47","5.27M","-0.27%"
"09/06/2022","130.08","138.00","138.40","129.82","5.87M","-6.13%"
"09/07/2022","134.90","129.68","135.10","129.58","3.97M","3.71%"
"09/08/2022","141.28","136.70","142.26","136.10","5.05M","4.73%"
"09/09/2022","142.28","142.04","142.65","138.06","3.50M","0.71%"
"09/12/2022","140.32","142.00","144.79","139.76","3.44M","-1.38%"
